sentence1	sentence2	paraphrase_types	sentence1_segment_location	sentence2_segment_location	sentence1_tokenized	sentence2_tokenized	id
Dubbed Project Mad Hatter, the Linux-based desktop is being promoted by Sun as a more secure and less expensive alternative to Windows.	Designed to compete with Microsoft Corp., Project Mad Hatter is being positioned by Sun as a cheaper, secure alternative desktop operating system to Microsoft's various desktop offerings.	[2, 3, 4, 6, 7, 0, 0]	[7, 7, 7, 7, 7, 2, 2, 2, 7, 7, 2, 7, 7, 7, 7, 7, 7, 4, 4, 4, 7, 7, 2, 7]	[7, 7, 7, 7, 7, 7, 7, 2, 2, 2, 7, 7, 2, 7, 7, 7, 7, 4, 4, 7, 7, 7, 7, 7, 7, 2, 2, 2, 2, 2, 7]	['Dubbed', 'Project', 'Mad', 'Hatter', ',', 'the', 'Linux-based', 'desktop', 'is', 'being', 'promoted', 'by', 'Sun', 'as', 'a', 'more', 'secure', 'and', 'less', 'expensive', 'alternative', 'to', 'Windows', '.']	"['Designed', 'to', 'compete', 'with', 'Microsoft', 'Corp.', ',', 'Project', 'Mad', 'Hatter', 'is', 'being', 'positioned', 'by', 'Sun', 'as', 'a', 'cheaper', ',', 'secure', 'alternative', 'desktop', 'operating', 'system', 'to', 'Microsoft', ""'s"", 'various', 'desktop', 'offerings', '.\n']"	f8a8f8b2c0fc486ba28080e693b32f4f
PC-related products were the strongest sector in July, with microprocessors up 5.6% and DRAMs up 8.2% from June, the industry group said.	PC-related products were the strongest sellers, with microprocessors up 5.6 percent and DRAMs up 8.2 percent, the SIA said.	[2, 6, 7, 0, 0, 0, 0]	[0, 0, 0, 2, 2, 2, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 0, 0]	[7, 7, 7, 2, 2, 2, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 2, 7, 2, 2, 7, 7]	['PC-related', 'products', 'were', 'the', 'strongest', 'sector', 'in', 'July', ',', 'with', 'microprocessors', 'up', '5.6', '%', 'and', 'DRAMs', 'up', '8.2', '%', 'from', 'June', ',', 'the', 'industry', 'group', 'said', '.']	['PC-related', 'products', 'were', 'the', 'strongest', 'sellers', ',', 'with', 'microprocessors', 'up', '5.6', 'percent', 'and', 'DRAMs', 'up', '8.2', 'percent', ',', 'the', 'SIA', 'said', '.\n']	794b502b0ff44266b5886a96e308f0f8
There were conflicting reports about the number of casualties yesterday.	There were sharply conflicting reports tonight on the death toll.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 2, 2, 2, 2, 2, 6, 7]	[6, 6, 7, 6, 6, 0, 2, 2, 2, 2, 6]	['There', 'were', 'conflicting', 'reports', 'about', 'the', 'number', 'of', 'casualties', 'yesterday', '.']	['There', 'were', 'sharply', 'conflicting', 'reports', 'tonight', 'on', 'the', 'death', 'toll', '.\n']	d3aca56f656e4d2ab4ce91519a85670c
But with the PM due to leave tomorrow afternoon for personal reasons there was a risk he might not be present when the final decision was made.	But with the Prime Minister due to leave tomorrow, a day early, he may not be present when the final decision is made.	[1, 2, 6, 7, 0, 0, 0]	[7, 7, 7, 6, 7, 7, 7, 7, 0, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7]	[7, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7]	['But', 'with', 'the', 'PM', 'due', 'to', 'leave', 'tomorrow', 'afternoon', 'for', 'personal', 'reasons', 'there', 'was', 'a', 'risk', 'he', 'might', 'not', 'be', 'present', 'when', 'the', 'final', 'decision', 'was', 'made', '.']	['But', 'with', 'the', 'Prime', 'Minister', 'due', 'to', 'leave', 'tomorrow', ',', 'a', 'day', 'early', ',', 'he', 'may', 'not', 'be', 'present', 'when', 'the', 'final', 'decision', 'is', 'made', '.\n']	11106fa35d9b4776baa64701cbbeb2d6
Predictions ranged from 16 cents a share to 27 cents a share, according to Thomson First Call.	Wall Street analysts had expected 22 cents a share, according to Thomson First Call.	[2, 6, 0, 0, 0, 0, 0]	[2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[2, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	['Predictions', 'ranged', 'from', '16', 'cents', 'a', 'share', 'to', '27', 'cents', 'a', 'share', ',', 'according', 'to', 'Thomson', 'First', 'Call', '.']	['Wall', 'Street', 'analysts', 'had', 'expected', '22', 'cents', 'a', 'share', ',', 'according', 'to', 'Thomson', 'First', 'Call', '.\n']	f4e7b20e52b240d8864e1bd5dbe1e788
A bill that would have fully legalized marijuana for medical purposes in Connecticut was narrowly defeated in the House of Representatives on Wednesday.	A move to legalize marijuana for medical use was defeated yesterday in the state House of Representatives, 79-64.	[2, 4, 6, 7, 0, 0, 0]	[4, 4, 4, 4, 4, 7, 4, 4, 6, 6, 2, 7, 7, 0, 0, 0, 6, 6, 2, 2, 2, 0, 0, 6]	[4, 4, 4, 4, 4, 7, 7, 2, 6, 6, 7, 7, 7, 2, 2, 2, 2, 6, 6, 7]	['A', 'bill', 'that', 'would', 'have', 'fully', 'legalized', 'marijuana', 'for', 'medical', 'purposes', 'in', 'Connecticut', 'was', 'narrowly', 'defeated', 'in', 'the', 'House', 'of', 'Representatives', 'on', 'Wednesday', '.']	['A', 'move', 'to', 'legalize', 'marijuana', 'for', 'medical', 'use', 'was', 'defeated', 'yesterday', 'in', 'the', 'state', 'House', 'of', 'Representatives', ',', '79-64', '.\n']	b6b9ce132ef34dcca0b0910224618360
"""From Justin to Kelly,"" starring ""American Idol"" winner Kelly Clarkson and runner-up Justin Guarini, opened at No. 11 with only $2.9 million."	From Justin to Kelly, a romance starring American Idol winner Kelly Clarkson and runnerup Justin Guarini, opened at No. 11 with $2.9-million.	[2, 5, 6, 7, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	"['``', 'From', 'Justin', 'to', 'Kelly', ',', ""''"", 'starring', '``', 'American', 'Idol', ""''"", 'winner', 'Kelly', 'Clarkson', 'and', 'runner-up', 'Justin', 'Guarini', ',', 'opened', 'at', 'No', '.', '11', 'with', 'only', '$', '2.9', 'million', '.']"	['From', 'Justin', 'to', 'Kelly', ',', 'a', 'romance', 'starring', 'American', 'Idol', 'winner', 'Kelly', 'Clarkson', 'and', 'runnerup', 'Justin', 'Guarini', ',', 'opened', 'at', 'No', '.', '11', 'with', '$', '2.9-million', '.\n']	5c2f2deb73414aaeb1ae9bbef97b86af
The survey of 60,000 people, conducted in 2001 and 2002, found 91 percent of commuters use their own car or truck.	The Transportation Department survey of 60,000 people, conducted in 2001 and 2002, found 91 percent of people who commute use their own cars or trucks.	[1, 3, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 1, 7, 1, 7]	[0, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 1, 0, 1, 0]	['The', 'survey', 'of', '60,000', 'people', ',', 'conducted', 'in', '2001', 'and', '2002', ',', 'found', '91', 'percent', 'of', 'commuters', 'use', 'their', 'own', 'car', 'or', 'truck', '.']	['The', 'Transportation', 'Department', 'survey', 'of', '60,000', 'people', ',', 'conducted', 'in', '2001', 'and', '2002', ',', 'found', '91', 'percent', 'of', 'people', 'who', 'commute', 'use', 'their', 'own', 'cars', 'or', 'trucks', '.\n']	b0ce0be3c6e44055b6751c43810f81d9
The charges allege that he was part of the conspiracy to kill and kidnap persons in a foreign country.	The government now charges that Sattar conspired with Rahman to kill and kidnap individuals in foreign countries.	[1, 2, 3, 6, 0, 0, 0]	[0, 1, 0, 0, 2, 3, 3, 3, 3, 3, 6, 6, 6, 6, 2, 6, 0, 6, 1, 6]	[0, 0, 0, 1, 0, 2, 3, 3, 0, 6, 6, 6, 6, 2, 6, 6, 1, 6]	['The', 'charges', 'allege', 'that', 'he', 'was', 'part', 'of', 'the', 'conspiracy', 'to', 'kill', 'and', 'kidnap', 'persons', 'in', 'a', 'foreign', 'country', '.']	['The', 'government', 'now', 'charges', 'that', 'Sattar', 'conspired', 'with', 'Rahman', 'to', 'kill', 'and', 'kidnap', 'individuals', 'in', 'foreign', 'countries', '.\n']	8cd5e4aa44754d239d954b5824489059
"""Ex-Im board members displayed courage and environmental leadership in the face of considerable pressure,"" Jon Sohn of Friends of the Earth said after the panel's vote."	"""Two Ex-Im board members displayed courage and environmental leadership in the face of considerable pressure,"" said Jon Sohn, international campaigner for Friends of the Earth."	[6, 7, 0, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7, 7, 7, 0, 0, 0, 0, 0, 0]	"['``', 'Ex-Im', 'board', 'members', 'displayed', 'courage', 'and', 'environmental', 'leadership', 'in', 'the', 'face', 'of', 'considerable', 'pressure', ',', ""''"", 'Jon', 'Sohn', 'of', 'Friends', 'of', 'the', 'Earth', 'said', 'after', 'the', 'panel', ""'s"", 'vote', '.']"	"['``', 'Two', 'Ex-Im', 'board', 'members', 'displayed', 'courage', 'and', 'environmental', 'leadership', 'in', 'the', 'face', 'of', 'considerable', 'pressure', ',', ""''"", 'said', 'Jon', 'Sohn', ',', 'international', 'campaigner', 'for', 'Friends', 'of', 'the', 'Earth', '.\n']"	516bd2e10b074aaca55eb005fac567f7
"""Qualcomm has enjoyed many years of selling...against little or no competition,"" Hubach said in the statement."	"""Qualcomm has enjoyed many years of selling CDMA chips against little or no competition,"" said TI General Counsel Joseph Hubach."	[2, 5, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	"['``', 'Qualcomm', 'has', 'enjoyed', 'many', 'years', 'of', 'selling', '...', 'against', 'little', 'or', 'no', 'competition', ',', ""''"", 'Hubach', 'said', 'in', 'the', 'statement', '.']"	"['``', 'Qualcomm', 'has', 'enjoyed', 'many', 'years', 'of', 'selling', 'CDMA', 'chips', 'against', 'little', 'or', 'no', 'competition', ',', ""''"", 'said', 'TI', 'General', 'Counsel', 'Joseph', 'Hubach', '.\n']"	ead085a2ab944a61b18b5c47b31f1938
Saddam loyalists have been blamed for sabotaging the nation's infrastructure, as well as frequent attacks on U.S. soldiers.	Hussein loyalists have been blamed for sabotaging the nation's infrastructure and attacking US soldiers.	[1, 2, 5, 6, 7, 0, 0]	[2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 0, 1, 0, 2, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	"['Saddam', 'loyalists', 'have', 'been', 'blamed', 'for', 'sabotaging', 'the', 'nation', ""'s"", 'infrastructure', ',', 'as', 'well', 'as', 'frequent', 'attacks', 'on', 'U.S.', 'soldiers', '.']"	"['Hussein', 'loyalists', 'have', 'been', 'blamed', 'for', 'sabotaging', 'the', 'nation', ""'s"", 'infrastructure', 'and', 'attacking', 'US', 'soldiers', '.\n']"	ec86371066ae4ac5846d92f0ca67cab9
"Marisa Baldeo stated, however, the authority's official uniform policy says ""they are not supposed to wear anything on their heads but a NYC transit depot logo cap."	"""As of now, they are not supposed to wear anything on their heads but a NYC transit depot logo cap,"" Baldeo said."	[2, 5, 6, 7, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	"['Marisa', 'Baldeo', 'stated', ',', 'however', ',', 'the', 'authority', ""'s"", 'official', 'uniform', 'policy', 'says', '``', 'they', 'are', 'not', 'supposed', 'to', 'wear', 'anything', 'on', 'their', 'heads', 'but', 'a', 'NYC', 'transit', 'depot', 'logo', 'cap', '.']"	"['``', 'As', 'of', 'now', ',', 'they', 'are', 'not', 'supposed', 'to', 'wear', 'anything', 'on', 'their', 'heads', 'but', 'a', 'NYC', 'transit', 'depot', 'logo', 'cap', ',', ""''"", 'Baldeo', 'said', '.\n']"	5b54dfab3ade4010a0064463f6f84aef
The other 18 people inside the building - two visitors and 16 employees, including Harrison's ex-girlfriend - escaped without injury, Aaron said.	The other 18 people in the building, including Harrison's ex-girlfriend, were not injured, police spokesman Don Aaron said.	[2, 5, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 2, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 2, 2, 2, 7, 2, 7, 7]	[7, 7, 7, 7, 2, 7, 7, 6, 6, 6, 6, 6, 6, 2, 2, 2, 7, 7, 7, 2, 2, 7, 7]	"['The', 'other', '18', 'people', 'inside', 'the', 'building', '-', 'two', 'visitors', 'and', '16', 'employees', ',', 'including', 'Harrison', ""'s"", 'ex-girlfriend', '-', 'escaped', 'without', 'injury', ',', 'Aaron', 'said', '.']"	"['The', 'other', '18', 'people', 'in', 'the', 'building', ',', 'including', 'Harrison', ""'s"", 'ex-girlfriend', ',', 'were', 'not', 'injured', ',', 'police', 'spokesman', 'Don', 'Aaron', 'said', '.\n']"	cef1b1e24d3142dda68ef25987d775b8
Dr. Sutherland, 65, was a co-founder of Evans  Sutherland, an early maker of high-performance computers.	Sutherland is the 65-year-old computing pioneer who co-founded Evans  Sutherland, which made high-performance graphics computers.	[3, 4, 6, 7, 0, 0, 0]	[4, 4, 7, 7, 7, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 7]	[4, 4, 4, 7, 7, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0]	['Dr.', 'Sutherland', ',', '65', ',', 'was', 'a', 'co-founder', 'of', 'Evans', '', 'Sutherland', ',', 'an', 'early', 'maker', 'of', 'high-performance', 'computers', '.']	['Sutherland', 'is', 'the', '65-year-old', 'computing', 'pioneer', 'who', 'co-founded', 'Evans', '', 'Sutherland', ',', 'which', 'made', 'high-performance', 'graphics', 'computers', '.\n']	516854ea097e4ee7bd3047de5ae74d92
But MTA officials appropriated the money to the 2003 and 2004 budgets without notifying riders or even the MTA board members considering the 50-cent hike, Hevesi found.	MTA officials appropriated the surplus money to later years' budgets without notifying riders or the MTA board members when the 50-cent hike was being considered, he said.	[2, 4, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 0, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 4, 4, 4, 7, 2, 2, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 4, 4, 4, 4, 4, 4, 7, 2, 2, 7]	['But', 'MTA', 'officials', 'appropriated', 'the', 'money', 'to', 'the', '2003', 'and', '2004', 'budgets', 'without', 'notifying', 'riders', 'or', 'even', 'the', 'MTA', 'board', 'members', 'considering', 'the', '50-cent', 'hike', ',', 'Hevesi', 'found', '.']	"['MTA', 'officials', 'appropriated', 'the', 'surplus', 'money', 'to', 'later', 'years', ""'"", 'budgets', 'without', 'notifying', 'riders', 'or', 'the', 'MTA', 'board', 'members', 'when', 'the', '50-cent', 'hike', 'was', 'being', 'considered', ',', 'he', 'said', '.\n']"	30be2e0916b24699a9e4afc318a8d70c
Before Thursday's matinee, Baker called a clubhouse meeting, concerned that the controversy had distracted the Cubs.	Baker called a pregame meeting, believing the the corked-bat episode had distracted the team.	[2, 6, 7, 0, 0, 0, 0]	[2, 2, 2, 2, 2, 0, 0, 0, 7, 0, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0]	[7, 7, 7, 2, 7, 7, 2, 7, 7, 2, 2, 7, 7, 7, 2, 7]	"['Before', 'Thursday', ""'s"", 'matinee', ',', 'Baker', 'called', 'a', 'clubhouse', 'meeting', ',', 'concerned', 'that', 'the', 'controversy', 'had', 'distracted', 'the', 'Cubs', '.']"	['Baker', 'called', 'a', 'pregame', 'meeting', ',', 'believing', 'the', 'the', 'corked-bat', 'episode', 'had', 'distracted', 'the', 'team', '.\n']	3a32cfa01af34884847d6477b15b8712
"Gordon stressed that his bill ""is a lesson-learned bill and not a reflection on Admiral Gehman's handling of the Columbia investigation."""	"But Gordon emphasized that the legislation he introduced last week is ""a lesson-learned bill and not a reflection on Admiral (Harold) Gehman's handling of the Columbia investigation."""	[2, 4, 5, 6, 7, 0, 0]	[5, 2, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	[0, 5, 2, 5, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	"['Gordon', 'stressed', 'that', 'his', 'bill', '``', 'is', 'a', 'lesson-learned', 'bill', 'and', 'not', 'a', 'reflection', 'on', 'Admiral', 'Gehman', ""'s"", 'handling', 'of', 'the', 'Columbia', 'investigation', '.', ""''""]"	"['But', 'Gordon', 'emphasized', 'that', 'the', 'legislation', 'he', 'introduced', 'last', 'week', 'is', '``', 'a', 'lesson-learned', 'bill', 'and', 'not', 'a', 'reflection', 'on', 'Admiral', '(', 'Harold', ')', 'Gehman', ""'s"", 'handling', 'of', 'the', 'Columbia', 'investigation', '.', ""''\n""]"	dc0c87fec76f47f0bd6bbd8a13971f9d
"And if we don't do this, innocent people on the ground are going to die, too."""	"Crews are told: ""If we don't do this, innocent people on the ground are going to die"", he said."	[5, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0]	"['And', 'if', 'we', 'do', ""n't"", 'do', 'this', ',', 'innocent', 'people', 'on', 'the', 'ground', 'are', 'going', 'to', 'die', ',', 'too', '.', ""''""]"	"['Crews', 'are', 'told', ':', '``', 'If', 'we', 'do', ""n't"", 'do', 'this', ',', 'innocent', 'people', 'on', 'the', 'ground', 'are', 'going', 'to', 'die', ""''"", ',', 'he', 'said', '.\n']"	1773f01a78724d7eb99aaa2857296cca
"""It is a benign web where we hope to catch investors and where each of us can advance our enlightened self interest through cooperation with others."""	It is a benign web where we hope to catch investors and where each of us can advance our enlightened self-interest through cooperation with others,' said Mr Goh.	[2, 5, 6, 7, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 7, 0, 7, 7, 7, 6]	"['``', 'It', 'is', 'a', 'benign', 'web', 'where', 'we', 'hope', 'to', 'catch', 'investors', 'and', 'where', 'each', 'of', 'us', 'can', 'advance', 'our', 'enlightened', 'self', 'interest', 'through', 'cooperation', 'with', 'others', '.', ""''""]"	"['It', 'is', 'a', 'benign', 'web', 'where', 'we', 'hope', 'to', 'catch', 'investors', 'and', 'where', 'each', 'of', 'us', 'can', 'advance', 'our', 'enlightened', 'self-interest', 'through', 'cooperation', 'with', 'others', ',', ""'"", 'said', 'Mr', 'Goh', '.\n']"	cf322668c1e6449fb71c6a5a0d1aab87
The priest, the Rev. John F. Johnston, 64, of 35th Avenue in Jackson Heights, was charged with aggravated harassment and criminal possession of a weapon.	The Rev. John Johnston, 64, was charged with aggravated harassment in the phone call case and with criminal possession of a weapon, according to a police statement.	[2, 4, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 2, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['The', 'priest', ',', 'the', 'Rev', '.', 'John', 'F.', 'Johnston', ',', '64', ',', 'of', '35th', 'Avenue', 'in', 'Jackson', 'Heights', ',', 'was', 'charged', 'with', 'aggravated', 'harassment', 'and', 'criminal', 'possession', 'of', 'a', 'weapon', '.']	['The', 'Rev', '.', 'John', 'Johnston', ',', '64', ',', 'was', 'charged', 'with', 'aggravated', 'harassment', 'in', 'the', 'phone', 'call', 'case', 'and', 'with', 'criminal', 'possession', 'of', 'a', 'weapon', ',', 'according', 'to', 'a', 'police', 'statement', '.\n']	95f56fe786a84627bb324da9cfa52e79
"""His comments were extremely inappropriate and the decision was an easy one,"" MSNBC spokesman Jeremy Gaines said."	"""Savage made an extremely inappropriate comment and the decision to cancel the program was not difficult,"" MSNBC spokesman Jeremy Gaines said."	[1, 3, 4, 6, 7, 0, 0]	[7, 4, 4, 4, 4, 4, 7, 7, 7, 7, 0, 3, 0, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 4, 4, 4, 4, 4, 4, 0, 0, 0, 7, 7, 7, 7, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0]	"['``', 'His', 'comments', 'were', 'extremely', 'inappropriate', 'and', 'the', 'decision', 'was', 'an', 'easy', 'one', ',', ""''"", 'MSNBC', 'spokesman', 'Jeremy', 'Gaines', 'said', '.']"	"['``', 'Savage', 'made', 'an', 'extremely', 'inappropriate', 'comment', 'and', 'the', 'decision', 'to', 'cancel', 'the', 'program', 'was', 'not', 'difficult', ',', ""''"", 'MSNBC', 'spokesman', 'Jeremy', 'Gaines', 'said', '.\n']"	84794a20da2641ae87a68544059d5e74
Forty to 50 years ago, the ratio was 3 to 1, Kessler said, and 10 years ago, it was 2 to 1.	Forty to 50 years ago, the ratio was about 3-to-1, Kessler said, and 10 years ago, it was about 2-to-1.	[2, 3, 6, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 3, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 6]	['Forty', 'to', '50', 'years', 'ago', ',', 'the', 'ratio', 'was', '3', 'to', '1', ',', 'Kessler', 'said', ',', 'and', '10', 'years', 'ago', ',', 'it', 'was', '2', 'to', '1', '.']	['Forty', 'to', '50', 'years', 'ago', ',', 'the', 'ratio', 'was', 'about', '3-to-1', ',', 'Kessler', 'said', ',', 'and', '10', 'years', 'ago', ',', 'it', 'was', 'about', '2-to-1', '.\n']	5a0583a4a24d4537b44f6e20136d9212
NASA officials are delicately seeking advice on what to do with the 84,000 shattered pieces from Columbia, cautiously broaching the idea of putting some shuttle parts on display.	NASA officials are seeking advice about what to do with the 84,000 shattered pieces of the space shuttle Columbia, cautiously broaching the idea of putting some parts on display.	[2, 3, 6, 7, 0, 0, 0]	[0, 0, 0, 7, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 3, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['NASA', 'officials', 'are', 'delicately', 'seeking', 'advice', 'on', 'what', 'to', 'do', 'with', 'the', '84,000', 'shattered', 'pieces', 'from', 'Columbia', ',', 'cautiously', 'broaching', 'the', 'idea', 'of', 'putting', 'some', 'shuttle', 'parts', 'on', 'display', '.']	['NASA', 'officials', 'are', 'seeking', 'advice', 'about', 'what', 'to', 'do', 'with', 'the', '84,000', 'shattered', 'pieces', 'of', 'the', 'space', 'shuttle', 'Columbia', ',', 'cautiously', 'broaching', 'the', 'idea', 'of', 'putting', 'some', 'parts', 'on', 'display', '.\n']	3a646a754d424890877e5d5648926afb
"In the first three months of 2003 alone, weekly earnings adjusted for inflation fell 1.5% -- the biggest drop in more than a decade,"" Lieberman said."	In the first quarter of this year, weekly earnings adjusted for inflation fell 1.5 percent - the biggest drop in more than a decade.	[2, 5, 6, 7, 0, 0, 0]	[6, 6, 6, 2, 2, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 2, 0, 6, 6, 6, 6, 6, 6, 6, 6, 7, 0, 7, 7, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	"['In', 'the', 'first', 'three', 'months', 'of', '2003', 'alone', ',', 'weekly', 'earnings', 'adjusted', 'for', 'inflation', 'fell', '1.5', '%', '--', 'the', 'biggest', 'drop', 'in', 'more', 'than', 'a', 'decade', ',', ""''"", 'Lieberman', 'said', '.']"	['In', 'the', 'first', 'quarter', 'of', 'this', 'year', ',', 'weekly', 'earnings', 'adjusted', 'for', 'inflation', 'fell', '1.5', 'percent', '-', 'the', 'biggest', 'drop', 'in', 'more', 'than', 'a', 'decade', '.\n']	09cc422997e54be9867edfa6021bc829
"""If that ain't a Democrat, then I must be at the wrong meeting,"" he said to a standing ovation."	"And if that ain't a Democrat, then I must be in the wrong meeting,"" he said to thunderous applause from his supporters."	[2, 5, 6, 7, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	"['``', 'If', 'that', 'ai', ""n't"", 'a', 'Democrat', ',', 'then', 'I', 'must', 'be', 'at', 'the', 'wrong', 'meeting', ',', ""''"", 'he', 'said', 'to', 'a', 'standing', 'ovation', '.']"	"['And', 'if', 'that', 'ai', ""n't"", 'a', 'Democrat', ',', 'then', 'I', 'must', 'be', 'in', 'the', 'wrong', 'meeting', ',', ""''"", 'he', 'said', 'to', 'thunderous', 'applause', 'from', 'his', 'supporters', '.\n']"	85c6821fde8447c980f77b5ae59404d3
